warning_id,project_id,canonical_project_id,warning_type,severity,trigger_value,trigger_description,recommended_action
101280-DATA_QUALITY_REVIEW,101280,101280,DATA_QUALITY_REVIEW,LOW,30.0,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
106816-DATA_QUALITY_REVIEW,106816,106816,DATA_QUALITY_REVIEW,LOW,30.0,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
120250-DATA_QUALITY_REVIEW,120250,120250,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
169570-DATA_QUALITY_REVIEW,169570,169570,DATA_QUALITY_REVIEW,LOW,30.0,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
186000-DATA_QUALITY_REVIEW,186000,186000,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
188000-DATA_QUALITY_REVIEW,188000,188000,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
188830-DATA_QUALITY_REVIEW,188830,188830,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
205974-DATA_QUALITY_REVIEW,205974,205974,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
225770-DATA_QUALITY_REVIEW,225770,225770,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
260860-DATA_QUALITY_REVIEW,260860,260860,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
262175-DATA_QUALITY_REVIEW,262175,262175,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
267000-DATA_QUALITY_REVIEW,267000,267000,DATA_QUALITY_REVIEW,LOW,30.0,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
297700-DATA_QUALITY_REVIEW,297700,297700,DATA_QUALITY_REVIEW,LOW,24.3,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
362420-DATA_QUALITY_REVIEW,362420,362420,DATA_QUALITY_REVIEW,LOW,32.9,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
400006-EXPENDITURE_PROGRESS_DIVERGENCE,400006,400006,EXPENDITURE_PROGRESS_DIVERGENCE,HIGH,47.89977626423071,Expenditure is unusually ahead of physical progress relative to the portfolio.,Review expenditure milestones against physical deliverables.
400018-PROGRESS_STAGNATION,400018,400018,PROGRESS_STAGNATION,HIGH,0.0266666666666661,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400023-PROGRESS_STAGNATION,400023,400023,PROGRESS_STAGNATION,HIGH,0.0666666666666666,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400033-PROGRESS_STAGNATION,400033,400033,PROGRESS_STAGNATION,HIGH,0.1133333333333344,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400045-PROGRESS_STAGNATION,400045,400045,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400048-PROGRESS_STAGNATION,400048,400048,PROGRESS_STAGNATION,HIGH,0.0,Physical progress has shown minimal recent movement.,Prioritise milestone-level review and identify implementation bottlenecks.
400073-PROGRESS_DETERIORATION,400073,400073,PROGRESS_DETERIORATION,CRITICAL,-0.896666666666666,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400074-PROGRESS_DETERIORATION,400074,400074,PROGRESS_DETERIORATION,CRITICAL,-0.0966666666666663,Recent physical progress is declining.,Escalate for a milestone and data-quality review.
400077-DATA_QUALITY_REVIEW,400077,400077,DATA_QUALITY_REVIEW,LOW,28.6,Evidence is insufficient for a dependable risk assessment.,Validate project identity and missing monitoring fields.
